Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,15048,T. Kelce,136,97,1229,5,null,94.1,9.42,1281,80.1,13.2,136,19,8,7.5,24.4,1.87
2,19063,G. Kittle,107,85,1053,5,null,89,5.82,623,44.5,7.3,107,17,5,7.87,28.2,2.08
3,16964,D. Waller,117,90,1146,3,null,90.4,7.5,877,54.8,9.7,117,11,5,7.88,23.8,1.89
4,14856,Z. Ertz,134,88,916,6,null,90,8.96,1201,80.1,13.6,134,19,8,7.82,23.8,1.59
5,19803,M. Andrews,98,64,852,10,null,43.2,11.76,1152,76.8,18,98,15,12,7.53,24.1,2.11
6,17963,A. Hooper,97,75,787,6,null,80.3,7.14,693,53.3,9.2,97,18,9,7.6,18.5,1.96
7,8534,J. Cook,65,43,705,9,null,55.1,11.26,732,52.3,17,65,10,11,7.23,13.5,2.58
8,18032,T. Higbee,89,69,734,3,null,66.6,7.07,629,44.9,9.1,89,19,6,7.39,15.9,1.8
9,17975,H. Henry,76,55,652,5,null,80.8,10.89,828,69,15.1,76,12,6,7.5,18.1,1.95
10,19863,D. Goedert,87,58,607,5,null,69.3,5.54,482,32.1,8.3,87,11,5,7.82,15.6,1.66
11,722,J. Witten,83,63,529,4,null,77.2,6.83,567,35.4,9,83,10,5,7.92,14.4,1.66
12,19853,M. Gesicki,89,51,570,5,null,69.5,9.74,867,57.8,17,89,11,10,6.66,15.3,1.53
13,1658,G. Olsen,81,52,597,2,null,82.9,9.4,761,54.4,14.6,81,13,6,7.19,15.5,1.53
14,15602,J. Doyle,72,43,448,4,null,75.3,6.76,487,30.4,11.3,72,14,5,6.77,14.8,1.55
15,13275,K. Rudolph,49,39,367,6,null,82.8,6.9,338,22.5,8.7,49,11,7,7.81,11.6,2.28
16,20753,N. Fant,67,40,562,3,null,71.2,8.43,565,35.3,14.1,67,9,7,6.49,13.9,1.66
17,15247,D. Fells,48,34,341,7,null,76.2,6.15,295,19.7,8.7,48,12,7,8.18,9.9,2.29
18,18912,E. Engram,68,44,467,3,null,83.9,6.15,418,52.2,9.5,68,11,3,6.99,22,1.61
19,18990,J. Smith,45,35,439,3,null,74.1,5.51,248,16.5,7.1,45,6,1,7.89,11.1,2.33
20,14918,T. Eifert,64,43,436,3,null,46.8,9.23,591,36.9,13.7,64,9,8,7.97,10.8,1.63
21,11488,J. Graham,63,38,447,3,null,58.2,10.06,634,39.6,16.7,63,10,6,7.7,11.5,1.6
22,14985,R. Griffin,41,34,320,5,null,83.9,6.41,263,20.2,7.7,41,6,4,8.17,10.1,2.34
23,19281,J. Hollister,59,41,349,3,null,74.6,6.42,379,37.9,9.2,59,12,4,6.69,18.9,1.59
24,16593,C. Brate,56,36,311,4,null,42.6,7.12,399,28.5,11.1,56,8,2,6.92,10.8,1.63
25,18935,G. Everett,61,37,408,2,null,56.2,8,488,40.7,13.2,61,8,3,6.89,13.7,1.47
26,19903,J. Akins,55,36,418,2,null,62.5,7.45,410,25.6,11.4,55,6,3,7.27,10.6,1.63
27,16451,E. Ebron,52,31,375,3,null,42.7,9.93,516.5,47,16.7,52,11,5,6.92,15.5,1.66
28,19457,B. Jarwin,41,31,365,3,null,39.1,8.41,345,23,11.1,41,2,1,7.87,7.7,2.09
29,18901,O. Howard,54,34,459,1,null,79.6,10.48,566,40.4,16.6,54,8,3,7.31,10.3,1.55
30,15239,V. McDonald,55,38,273,3,null,79.5,4.73,260,18.6,6.8,55,9,2,7.41,13,1.52
31,20805,T. Hockenson,59,32,367,2,null,66.9,8.07,476,39.7,14.9,59,7,4,6.95,14.1,1.37
32,20949,I. Smith Jr.,47,36,311,2,null,61.7,6.15,289,20.6,8,47,10,3,7.66,11.4,1.68
33,20946,K. Smith,42,31,268,3,null,94.6,6.83,287,41,9.3,42,6,3,8.04,16.7,1.8
34,16931,N. Boyle,43,31,321,2,null,66.5,6.37,274,18.3,8.8,43,6,4,8.14,10.6,1.75
